grid_id,week_num,crime_num,do_num,do_num_1,do_num_2,do_num_3,do_num_4,lat,long,do_spill,do_spill_1,do_spill_2,do_spill_3,do_spill_4
1_2,48,0,0,0,0,0,0,10.075,-61.875,0,0.12020488468880748,0.039613345548146155,0.012945233764568374,0.06220830395975328
1_2,49,0,0,0,0,0,0,10.075,-61.875,0.011467861902144666,0,0.12020488468880748,0.039613345548146155,0.012945233764568374
1_2,50,0,0,0,0,0,0,10.075,-61.875,0.013073217511756038,0.011467861902144666,0,0.12020488468880748,0.039613345548146155
1_2,51,0,0,0,0,0,0,10.075,-61.875,0.018364235743739528,0.013073217511756038,0.011467861902144666,0,0.12020488468880748
1_2,52,0,0,0,0,0,0,10.075,-61.875,0,0.018364235743739528,0.013073217511756038,0.011467861902144666,0
2_2,4,0,0,0,0,0,0,10.075,-61.825,0.005844351995996408,0.05017758671753832,0.013729293126545089,0,0
2_2,5,0,0,0,0,0,0,10.075,-61.825,0.14779415016686429,0.005844351995996408,0.05017758671753832,0.013729293126545089,0
2_2,6,0,0,0,0,0,0,10.075,-61.825,0.09761392000222904,0.14779415016686429,0.005844351995996408,0.05017758671753832,0.013729293126545089
2_2,7,0,0,0,0,0,0,10.075,-61.825,0.06762436807605383,0.09761392000222904,0.14779415016686429,0.005844351995996408,0.05017758671753832
2_2,8,0,0,0,0,0,0,10.075,-61.825,0.18136512930579335,0.06762436807605383,0.09761392000222904,0.14779415016686429,0.005844351995996408
2_2,9,0,0,0,0,0,0,10.075,-61.825,0.1170287173806989,0.18136512930579335,0.06762436807605383,0.09761392000222904,0.14779415016686429
2_2,10,0,0,0,0,0,0,10.075,-61.825,0.040649897217723545,0.1170287173806989,0.18136512930579335,0.06762436807605383,0.09761392000222904
2_2,11,0,0,0,0,0,0,10.075,-61.825,0.013738677796173951,0.040649897217723545,0.1170287173806989,0.18136512930579335,0.06762436807605383
2_2,12,0,0,0,0,0,0,10.075,-61.825,0.013646184553791218,0.013738677796173951,0.040649897217723545,0.1170287173806989,0.18136512930579335
2_2,13,0,0,0,0,0,0,10.075,-61.825,0,0.013646184553791218,0.013738677796173951,0.040649897217723545,0.1170287173806989
2_2,14,0,0,0,0,0,0,10.075,-61.825,0.013633508680443718,0,0.013646184553791218,0.013738677796173951,0.040649897217723545
2_2,15,0,0,0,0,0,0,10.075,-61.825,0,0.013633508680443718,0,0.013646184553791218,0.013738677796173951
2_2,16,0,0,0,0,0,0,10.075,-61.825,0,0,0.013633508680443718,0,0.013646184553791218
2_2,17,0,0,0,0,0,0,10.075,-61.825,0,0,0,0.013633508680443718,0
2_2,18,0,0,0,0,0,0,10.075,-61.825,0,0,0,0,0.013633508680443718
2_2,19,0,0,0,0,0,0,10.075,-61.825,0,0,0,0,0
2_2,20,0,0,0,0,0,0,10.075,-61.825,0,0,0,0,0
2_2,21,0,0,0,0,0,0,10.075,-61.825,0,0,0,0,0
2_2,22,0,0,0,0,0,0,10.075,-61.825,0,0,0,0,0
2_2,23,0,0,0,0,0,0,10.075,-61.825,0,0,0,0,0
2_2,24,0,0,0,0,0,0,10.075,-61.825,0,0,0,0,0
2_2,25,0,0,0,0,0,0,10.075,-61.825,0,0,0,0,0
2_2,26,0,0,0,0,0,0,10.075,-61.825,0,0,0,0,0
2_2,27,0,0,0,0,0,0,10.075,-61.825,0,0,0,0,0
2_2,28,0,0,0,0,0,0,10.075,-61.825,0,0,0,0,0
2_2,29,0,0,0,0,0,0,10.075,-61.825,0.10478492380701492,0,0,0,0
2_2,30,0,0,0,0,0,0,10.075,-61.825,0.16072650957111312,0.10478492380701492,0,0,0
2_2,31,0,0,0,0,0,0,10.075,-61.825,0.14021708277545583,0.16072650957111312,0.10478492380701492,0,0
2_2,32,0,0,0,0,0,0,10.075,-61.825,0.5042037041069322,0.14021708277545583,0.16072650957111312,0.10478492380701492,0
2_2,33,0,0,0,0,0,0,10.075,-61.825,0.3129277637416052,0.5042037041069322,0.14021708277545583,0.16072650957111312,0.10478492380701492
2_2,34,0,0,0,0,0,0,10.075,-61.825,0.038775239252143726,0.3129277637416052,0.5042037041069322,0.14021708277545583,0.16072650957111312
2_2,35,0,0,0,0,0,0,10.075,-61.825,0.11733588183931315,0.038775239252143726,0.3129277637416052,0.5042037041069322,0.14021708277545583
2_2,36,0,0,0,0,0,0,10.075,-61.825,0.0837590956865965,0.11733588183931315,0.038775239252143726,0.3129277637416052,0.5042037041069322
2_2,37,0,0,0,0,0,0,10.075,-61.825,0.04814985956438567,0.0837590956865965,0.11733588183931315,0.038775239252143726,0.3129277637416052
2_2,38,0,0,0,0,0,0,10.075,-61.825,0.14866650298801856,0.04814985956438567,0.0837590956865965,0.11733588183931315,0.038775239252143726
2_2,39,0,0,0,0,0,0,10.075,-61.825,0.023627333148934233,0.14866650298801856,0.04814985956438567,0.0837590956865965,0.11733588183931315
2_2,40,0,0,0,0,0,0,10.075,-61.825,0,0.023627333148934233,0.14866650298801856,0.04814985956438567,0.0837590956865965
2_2,41,0,0,0,0,0,0,10.075,-61.825,0.05964507447617126,0,0.023627333148934233,0.14866650298801856,0.04814985956438567
2_2,42,0,0,0,0,0,0,10.075,-61.825,0.13199406529517202,0.05964507447617126,0,0.023627333148934233,0.14866650298801856
2_2,43,0,0,0,0,0,0,10.075,-61.825,0,0.13199406529517202,0.05964507447617126,0,0.023627333148934233
2_2,44,0,0,0,0,0,0,10.075,-61.825,0.06475547877054777,0,0.13199406529517202,0.05964507447617126,0
2_2,45,0,0,0,0,0,0,10.075,-61.825,0.013350799500811803,0.06475547877054777,0,0.13199406529517202,0.05964507447617126
2_2,46,0,0,0,0,0,0,10.075,-61.825,0.04144314255880924,0.013350799500811803,0.06475547877054777,0,0.13199406529517202
2_2,47,0,0,0,0,0,0,10.075,-61.825,0.13710613586605275,0.04144314255880924,0.013350799500811803,0.06475547877054777,0
2_2,48,0,0,0,0,0,0,10.075,-61.825,0,0.13710613586605275,0.04144314255880924,0.013350799500811803,0.06475547877054777
2_2,49,0,0,0,0,0,0,10.075,-61.825,0.012028069701195541,0,0.13710613586605275,0.04144314255880924,0.013350799500811803
2_2,50,0,0,0,0,0,0,10.075,-61.825,0.01358953254506601,0.012028069701195541,0,0.13710613586605275,0.04144314255880924
2_2,51,0,0,0,0,0,0,10.075,-61.825,0.019003903155442883,0.01358953254506601,0.012028069701195541,0,0.13710613586605275
2_2,52,0,0,0,0,0,0,10.075,-61.825,0,0.019003903155442883,0.01358953254506601,0.012028069701195541,0
2_3,4,0,0,0,0,0,0,10.124999999999998,-61.825,0.005983441956323658,0.053310444352458394,0.014695844641896716,0,0
2_3,5,0,0,0,0,0,0,10.124999999999998,-61.825,0.1563300405165877,0.005983441956323658,0.053310444352458394,0.014695844641896716,0
2_3,6,0,0,0,0,0,0,10.124999999999998,-61.825,0.10352608272686915,0.1563300405165877,0.005983441956323658,0.053310444352458394,0.014695844641896716
