TTPS Crime Statistics

Year,Month,Division,Offence Code,Offence,Reported,Detected
2025,March,Southern,38,Larceny Dwelling House,1,0
2025,March,Southern,69,Narcotics,13,13
2025,March,Southern,69A,Other,6,2
2025,March,Southern,8,Woundings and Shootings,5,1
2025,March,Southern,85,Possession of Firearms and Ammunition,21,21
2025,March,Tobago,1,Murders,1,1
2025,March,Tobago,10,"Rapes, Incest and Sexual Offences",9,4
2025,March,Tobago,15,Serious Indecency,0,0
2025,March,Tobago,16,Kidnapping,2,0
2025,March,Tobago,16R,Kidnapping for Ransom,0,0
2025,March,Tobago,21,Burglaries and Breakings,14,1
2025,March,Tobago,22,Robberies,12,9
2025,March,Tobago,30,Fraud Offences,3,1
2025,March,Tobago,34,General Larceny,11,3
2025,March,Tobago,34A,Larceny Motor Vehicles,1,1
2025,March,Tobago,38,Larceny Dwelling House,2,0
2025,March,Tobago,69,Narcotics,10,10
2025,March,Tobago,69A,Other,17,8
2025,March,Tobago,8,Woundings and Shootings,1,0
2025,March,Tobago,85,Possession of Firearms and Ammunition,4,4
2025,March,Western,1,Murders,8,1
2025,March,Western,10,"Rapes, Incest and Sexual Offences",5,1
2025,March,Western,15,Serious Indecency,0,0
2025,March,Western,16,Kidnapping,0,0
2025,March,Western,16R,Kidnapping for Ransom,0,0
2025,March,Western,21,Burglaries and Breakings,5,2
2025,March,Western,22,Robberies,12,3
2025,March,Western,30,Fraud Offences,3,1
2025,March,Western,34,General Larceny,13,2
2025,March,Western,34A,Larceny Motor Vehicles,5,3
2025,March,Western,38,Larceny Dwelling House,1,1
2025,March,Western,69,Narcotics,2,2
2025,March,Western,69A,Other,3,1
2025,March,Western,8,Woundings and Shootings,11,8
2025,March,Western,85,Possession of Firearms and Ammunition,4,4
2025,April,Central,1,Murders,3,0
2025,April,Central,10,"Rapes, Incest and Sexual Offences",16,1
2025,April,Central,15,Serious Indecency,0,0
2025,April,Central,16,Kidnapping,4,2
2025,April,Central,16R,Kidnapping for Ransom,0,0
2025,April,Central,21,Burglaries and Breakings,12,3
2025,April,Central,22,Robberies,19,8
2025,April,Central,30,Fraud Offences,7,1
2025,April,Central,34,General Larceny,20,6
2025,April,Central,34A,Larceny Motor Vehicles,14,1
2025,April,Central,38,Larceny Dwelling House,1,0
2025,April,Central,69,Narcotics,1,1
2025,April,Central,69A,Other,11,6
2025,April,Central,8,Woundings and Shootings,6,3
2025,April,Central,85,Possession of Firearms and Ammunition,16,16
2025,April,Eastern,1,Murders,4,0
2025,April,Eastern,10,"Rapes, Incest and Sexual Offences",11,3
2025,April,Eastern,15,Serious Indecency,0,0
2025,April,Eastern,16,Kidnapping,1,1
2025,April,Eastern,16R,Kidnapping for Ransom,0,0
2025,April,Eastern,21,Burglaries and Breakings,10,2
2025,April,Eastern,22,Robberies,5,4
2025,April,Eastern,30,Fraud Offences,2,2
2025,April,Eastern,34,General Larceny,6,1
2025,April,Eastern,34A,Larceny Motor Vehicles,3,0
2025,April,Eastern,38,Larceny Dwelling House,0,0
2025,April,Eastern,69,Narcotics,3,3
2025,April,Eastern,69A,Other,3,2
2025,April,Eastern,8,Woundings and Shootings,8,2
2025,April,Eastern,85,Possession of Firearms and Ammunition,10,10
2025,April,North Eastern,1,Murders,4,0
2025,April,North Eastern,10,"Rapes, Incest and Sexual Offences",11,1
2025,April,North Eastern,15,Serious Indecency,0,0
2025,April,North Eastern,16,Kidnapping,0,0
2025,April,North Eastern,16R,Kidnapping for Ransom,0,0
2025,April,North Eastern,21,Burglaries and Breakings,3,1
2025,April,North Eastern,22,Robberies,16,3
2025,April,North Eastern,30,Fraud Offences,2,0
2025,April,North Eastern,34,General Larceny,11,2
2025,April,North Eastern,34A,Larceny Motor Vehicles,5,0
2025,April,North Eastern,38,Larceny Dwelling House,1,0
2025,April,North Eastern,69,Narcotics,1,1
2025,April,North Eastern,69A,Other,1,0
2025,April,North Eastern,8,Woundings and Shootings,7,3
2025,April,North Eastern,85,Possession of Firearms and Ammunition,13,13
2025,April,Northern,1,Murders,7,0
2025,April,Northern,10,"Rapes, Incest and Sexual Offences",6,0
2025,April,Northern,15,Serious Indecency,0,0
2025,April,Northern,16,Kidnapping,0,0
2025,April,Northern,16R,Kidnapping for Ransom,0,0
2025,April,Northern,21,Burglaries and Breakings,24,2
2025,April,Northern,22,Robberies,38,6
2025,April,Northern,30,Fraud Offences,7,2
2025,April,Northern,34,General Larceny,47,3
2025,April,Northern,34A,Larceny Motor Vehicles,15,2
2025,April,Northern,38,Larceny Dwelling House,0,0
2025,April,Northern,69,Narcotics,3,3
2025,April,Northern,69A,Other,9,3
2025,April,Northern,8,Woundings and Shootings,8,0
2025,April,Northern,85,Possession of Firearms and Ammunition,9,9
2025,April,Port of Spain,1,Murders,3,0
2025,April,Port of Spain,10,"Rapes, Incest and Sexual Offences",5,0
2025,April,Port of Spain,15,Serious Indecency,0,0
2025,April,Port of Spain,16,Kidnapping,0,0
2025,April,Port of Spain,16R,Kidnapping for Ransom,0,0
2025,April,Port of Spain,21,Burglaries and Breakings,4,0
2025,April,Port of Spain,22,Robberies,20,2
2025,April,Port of Spain,30,Fraud Offences,6,0
2025,April,Port of Spain,34,General Larceny,20,1
2025,April,Port of Spain,34A,Larceny Motor Vehicles,6,1
2025,April,Port of Spain,38,Larceny Dwelling House,1,0
2025,April,Port of Spain,69,Narcotics,6,6
2025,April,Port of Spain,69A,Other,4,3
2025,April,Port of Spain,8,Woundings and Shootings,3,0
2025,April,Port of Spain,85,Possession of Firearms and Ammunition,1,1
2025,April,South Western,1,Murders,2,0
