lat,long,grid_id,incr
10.129999999999997,-61.250000000000014,33_7,0.02
10.15,-61.24999999999999,33_8,0.02
10.17,-61.24999999999999,33_9,0.02
10.19,-61.24999999999999,33_10,0.02
10.209999999999999,-61.250000000000014,33_11,0.02
10.23,-61.24999999999999,33_12,0.02
10.25,-61.24999999999999,33_13,0.02
10.27,-61.24999999999999,33_14,0.02
10.290000000000001,-61.250000000000014,33_15,0.02
10.309999999999999,-61.24999999999999,33_16,0.02
10.33,-61.24999999999999,33_17,0.02
10.35,-61.24999999999999,33_18,0.02
10.370000000000001,-61.250000000000014,33_19,0.02
10.39,-61.24999999999999,33_20,0.02
10.41,-61.24999999999999,33_21,0.02
10.429999999999998,-61.24999999999999,33_22,0.02
10.45,-61.250000000000014,33_23,0.02
10.47,-61.24999999999999,33_24,0.02
10.49,-61.24999999999999,33_25,0.02
10.51,-61.24999999999999,33_26,0.02
10.53,-61.24999999999999,33_27,0.02
10.55,-61.250000000000014,33_28,0.02
10.57,-61.24999999999999,33_29,0.02
10.59,-61.24999999999999,33_30,0.02
10.61,-61.24999999999999,33_31,0.02
10.629999999999999,-61.250000000000014,33_32,0.02
10.65,-61.24999999999999,33_33,0.02
10.67,-61.24999999999999,33_34,0.02
10.690000000000001,-61.24999999999999,33_35,0.02
10.71,-61.250000000000014,33_36,0.02
10.73,-61.24999999999999,33_37,0.02
10.749999999999998,-61.24999999999999,33_38,0.02
10.770000000000001,-61.24999999999999,33_39,0.02
10.79,-61.250000000000014,33_40,0.02
10.07,-61.23,34_4,0.02
10.09,-61.23,34_5,0.02
10.110000000000001,-61.23,34_6,0.02
10.129999999999999,-61.230000000000004,34_7,0.02
10.15,-61.23,34_8,0.02
10.17,-61.23,34_9,0.02
10.19,-61.23,34_10,0.02
